年月,銀行,銀行類別,項目,數值,欄位名稱
9509,總計,全體總和,對中小企業,2738236000000,LN_SME
9509,總計,全體總和,佔放款%,16.86,LN_SME_RATE
9509,總計,全體總和,市佔率,100.0,MARKET_RATE
9509,中央信託局,本國銀行,對中小企業,3347000000,LN_SME
9509,中央信託局,本國銀行,佔放款%,1.73,LN_SME_RATE
9509,中央信託局,本國銀行,市佔率,0.12,MARKET_RATE
9509,中國農民銀行,本國銀行,對中小企業,0,LN_SME
9509,中國農民銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9509,中國農民銀行,本國銀行,市佔率,0.0,MARKET_RATE
9509,交通銀行,本國銀行,對中小企業,0,LN_SME
9509,交通銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9509,交通銀行,本國銀行,市佔率,0.0,MARKET_RATE
9509,臺灣銀行,本國銀行,對中小企業,129384000000,LN_SME
9509,臺灣銀行,本國銀行,佔放款%,9.24,LN_SME_RATE
9509,臺灣銀行,本國銀行,市佔率,4.73,MARKET_RATE
9509,臺灣土地銀行,本國銀行,對中小企業,140268000000,LN_SME
9509,臺灣土地銀行,本國銀行,佔放款%,10.67,LN_SME_RATE
9509,臺灣土地銀行,本國銀行,市佔率,5.12,MARKET_RATE
9509,合作金庫商業銀行,本國銀行,對中小企業,299692000000,LN_SME
9509,合作金庫商業銀行,本國銀行,佔放款%,18.18,LN_SME_RATE
9509,合作金庫商業銀行,本國銀行,市佔率,10.94,MARKET_RATE
9509,第一商業銀行,本國銀行,對中小企業,282849000000,LN_SME
9509,第一商業銀行,本國銀行,佔放款%,33.94,LN_SME_RATE
9509,第一商業銀行,本國銀行,市佔率,10.33,MARKET_RATE
9509,華南商業銀行,本國銀行,對中小企業,245137000000,LN_SME
9509,華南商業銀行,本國銀行,佔放款%,25.87,LN_SME_RATE
9509,華南商業銀行,本國銀行,市佔率,8.95,MARKET_RATE
9509,彰化商業銀行,本國銀行,對中小企業,191732000000,LN_SME
9509,彰化商業銀行,本國銀行,佔放款%,25.05,LN_SME_RATE
9509,彰化商業銀行,本國銀行,市佔率,7.0,MARKET_RATE
9509,華僑商業銀行,本國銀行,對中小企業,34584000000,LN_SME
9509,華僑商業銀行,本國銀行,佔放款%,20.8,LN_SME_RATE
9509,華僑商業銀行,本國銀行,市佔率,1.26,MARKET_RATE
9509,上海商業儲蓄銀行,本國銀行,對中小企業,62753000000,LN_SME
9509,上海商業儲蓄銀行,本國銀行,佔放款%,29.63,LN_SME_RATE
9509,上海商業儲蓄銀行,本國銀行,市佔率,2.29,MARKET_RATE
9509,台北富邦銀行,本國銀行,對中小企業,65063000000,LN_SME
9509,台北富邦銀行,本國銀行,佔放款%,11.72,LN_SME_RATE
9509,台北富邦銀行,本國銀行,市佔率,2.38,MARKET_RATE
9509,國泰世華商業銀行,本國銀行,對中小企業,60649000000,LN_SME
9509,國泰世華商業銀行,本國銀行,佔放款%,9.75,LN_SME_RATE
9509,國泰世華商業銀行,本國銀行,市佔率,2.21,MARKET_RATE
9509,中國輸出入銀行,本國銀行,對中小企業,3542000000,LN_SME
9509,中國輸出入銀行,本國銀行,佔放款%,15.75,LN_SME_RATE
9509,中國輸出入銀行,本國銀行,市佔率,0.13,MARKET_RATE
9509,高雄銀行,本國銀行,對中小企業,18426000000,LN_SME
9509,高雄銀行,本國銀行,佔放款%,18.49,LN_SME_RATE
9509,高雄銀行,本國銀行,市佔率,0.67,MARKET_RATE
9509,兆豐國際商業銀行,本國銀行,對中小企業,151039000000,LN_SME
9509,兆豐國際商業銀行,本國銀行,佔放款%,17.42,LN_SME_RATE
9509,兆豐國際商業銀行,本國銀行,市佔率,5.52,MARKET_RATE
9509,中華開發工業銀行,本國銀行,對中小企業,3493000000,LN_SME
9509,中華開發工業銀行,本國銀行,佔放款%,5.47,LN_SME_RATE
9509,中華開發工業銀行,本國銀行,市佔率,0.13,MARKET_RATE
9509,臺灣工業銀行,本國銀行,對中小企業,3388000000,LN_SME
9509,臺灣工業銀行,本國銀行,佔放款%,7.32,LN_SME_RATE
9509,臺灣工業銀行,本國銀行,市佔率,0.12,MARKET_RATE
9509,華泰商業銀行,本國銀行,對中小企業,11345000000,LN_SME
9509,華泰商業銀行,本國銀行,佔放款%,15.14,LN_SME_RATE
9509,華泰商業銀行,本國銀行,市佔率,0.41,MARKET_RATE
9509,臺灣新光商業銀行,本國銀行,對中小企業,22526000000,LN_SME
9509,臺灣新光商業銀行,本國銀行,佔放款%,10.28,LN_SME_RATE
9509,臺灣新光商業銀行,本國銀行,市佔率,0.82,MARKET_RATE
9509,陽信商業銀行,本國銀行,對中小企業,27763000000,LN_SME
9509,陽信商業銀行,本國銀行,佔放款%,15.1,LN_SME_RATE
9509,陽信商業銀行,本國銀行,市佔率,1.01,MARKET_RATE
9509,板信商業銀行,本國銀行,對中小企業,19584000000,LN_SME
9509,板信商業銀行,本國銀行,佔放款%,13.32,LN_SME_RATE
9509,板信商業銀行,本國銀行,市佔率,0.72,MARKET_RATE
9509,三信商業銀行,本國銀行,對中小企業,7307000000,LN_SME
9509,三信商業銀行,本國銀行,佔放款%,9.19,LN_SME_RATE
9509,三信商業銀行,本國銀行,市佔率,0.27,MARKET_RATE
9509,臺灣新光商業銀行,本國銀行,對中小企業,0,LN_SME
9509,臺灣新光商業銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9509,臺灣新光商業銀行,本國銀行,市佔率,0.0,MARKET_RATE
9509,第七商業銀行,本國銀行,對中小企業,8022000000,LN_SME
9509,第七商業銀行,本國銀行,佔放款%,14.67,LN_SME_RATE
9509,第七商業銀行,本國銀行,市佔率,0.29,MARKET_RATE
9509,高新商業銀行,本國銀行,對中小企業,0,LN_SME
9509,高新商業銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9509,高新商業銀行,本國銀行,市佔率,0.0,MARKET_RATE
9509,聯邦商業銀行,本國銀行,對中小企業,28332000000,LN_SME
9509,聯邦商業銀行,本國銀行,佔放款%,14.48,LN_SME_RATE
9509,聯邦商業銀行,本國銀行,市佔率,1.03,MARKET_RATE
9509,中華商業銀行,本國銀行,對中小企業,21000000000,LN_SME
9509,中華商業銀行,本國銀行,佔放款%,16.39,LN_SME_RATE
9509,中華商業銀行,本國銀行,市佔率,0.77,MARKET_RATE
9509,遠東國際商業銀行,本國銀行,對中小企業,8801000000,LN_SME
9509,遠東國際商業銀行,本國銀行,佔放款%,4.2,LN_SME_RATE
9509,遠東國際商業銀行,本國銀行,市佔率,0.32,MARKET_RATE
9509,復華商業銀行,本國銀行,對中小企業,31958000000,LN_SME
9509,復華商業銀行,本國銀行,佔放款%,14.44,LN_SME_RATE
9509,復華商業銀行,本國銀行,市佔率,1.17,MARKET_RATE
9509,建華商業銀行,本國銀行,對中小企業,27242000000,LN_SME
9509,建華商業銀行,本國銀行,佔放款%,9.92,LN_SME_RATE
9509,建華商業銀行,本國銀行,市佔率,0.99,MARKET_RATE
9509,玉山商業銀行,本國銀行,對中小企業,65445000000,LN_SME
9509,玉山商業銀行,本國銀行,佔放款%,16.59,LN_SME_RATE
9509,玉山商業銀行,本國銀行,市佔率,2.39,MARKET_RATE
9509,萬泰商業銀行,本國銀行,對中小企業,27783000000,LN_SME
9509,萬泰商業銀行,本國銀行,佔放款%,18.35,LN_SME_RATE
9509,萬泰商業銀行,本國銀行,市佔率,1.01,MARKET_RATE
9509,寶華商業銀行,本國銀行,對中小企業,33142000000,LN_SME
9509,寶華商業銀行,本國銀行,佔放款%,29.5,LN_SME_RATE
9509,寶華商業銀行,本國銀行,市佔率,1.21,MARKET_RATE
9509,台新國際商業銀行,本國銀行,對中小企業,20427000000,LN_SME
9509,台新國際商業銀行,本國銀行,佔放款%,4.01,LN_SME_RATE
9509,台新國際商業銀行,本國銀行,市佔率,0.75,MARKET_RATE
9509,大眾商業銀行,本國銀行,對中小企業,11969000000,LN_SME
9509,大眾商業銀行,本國銀行,佔放款%,5.51,LN_SME_RATE
9509,大眾商業銀行,本國銀行,市佔率,0.44,MARKET_RATE
9509,日盛國際商業銀行,本國銀行,對中小企業,23677000000,LN_SME
9509,日盛國際商業銀行,本國銀行,佔放款%,13.09,LN_SME_RATE
9509,日盛國際商業銀行,本國銀行,市佔率,0.86,MARKET_RATE
9509,安泰商業銀行,本國銀行,對中小企業,63950000000,LN_SME
9509,安泰商業銀行,本國銀行,佔放款%,29.9,LN_SME_RATE
9509,安泰商業銀行,本國銀行,市佔率,2.34,MARKET_RATE
9509,中國信託商業銀行,本國銀行,對中小企業,62725000000,LN_SME
9509,中國信託商業銀行,本國銀行,佔放款%,8.78,LN_SME_RATE
9509,中國信託商業銀行,本國銀行,市佔率,2.29,MARKET_RATE
9509,慶豐商業銀行,本國銀行,對中小企業,12899000000,LN_SME
9509,慶豐商業銀行,本國銀行,佔放款%,16.8,LN_SME_RATE
9509,慶豐商業銀行,本國銀行,市佔率,0.47,MARKET_RATE
9509,臺灣中小企業銀行,本國銀行,對中小企業,220207000000,LN_SME
9509,臺灣中小企業銀行,本國銀行,佔放款%,30.88,LN_SME_RATE
9509,臺灣中小企業銀行,本國銀行,市佔率,8.04,MARKET_RATE
9509,臺北國際商業銀行,本國銀行,對中小企業,53526000000,LN_SME
9509,臺北國際商業銀行,本國銀行,佔放款%,19.89,LN_SME_RATE
9509,臺北國際商業銀行,本國銀行,市佔率,1.95,MARKET_RATE
9509,新竹國際商業銀行,本國銀行,對中小企業,42431000000,LN_SME
9509,新竹國際商業銀行,本國銀行,佔放款%,14.48,LN_SME_RATE
9509,新竹國際商業銀行,本國銀行,市佔率,1.55,MARKET_RATE
9509,臺中商業銀行,本國銀行,對中小企業,47585000000,LN_SME
9509,臺中商業銀行,本國銀行,佔放款%,25.29,LN_SME_RATE
9509,臺中商業銀行,本國銀行,市佔率,1.74,MARKET_RATE
9509,京城商業銀行,本國銀行,對中小企業,80476000000,LN_SME
9509,京城商業銀行,本國銀行,佔放款%,57.31,LN_SME_RATE
9509,京城商業銀行,本國銀行,市佔率,2.94,MARKET_RATE
9509,花蓮區中小企業銀行,本國銀行,對中小企業,5936000000,LN_SME
9509,花蓮區中小企業銀行,本國銀行,佔放款%,60.62,LN_SME_RATE
9509,花蓮區中小企業銀行,本國銀行,市佔率,0.22,MARKET_RATE
9509,臺東區中小企業銀行,本國銀行,對中小企業,22176000000,LN_SME
9509,臺東區中小企業銀行,本國銀行,佔放款%,60.02,LN_SME_RATE
9509,臺東區中小企業銀行,本國銀行,市佔率,0.81,MARKET_RATE
9509,外國銀行在台分行,本國銀行,對中小企業,34658000000,LN_SME
9509,外國銀行在台分行,本國銀行,佔放款%,7.36,LN_SME_RATE
9509,外國銀行在台分行,本國銀行,市佔率,1.27,MARKET_RATE
