年月,銀行,銀行類別,項目,數值,欄位名稱
10001,總計,全體總和,對中小企業,3482368000000,LN_SME
10001,總計,全體總和,佔放款%,18.41,LN_SME_RATE
10001,總計,全體總和,市佔率,100.0,MARKET_RATE
10001,臺灣銀行,本國銀行,對中小企業,245115000000,LN_SME
10001,臺灣銀行,本國銀行,佔放款%,12.12,LN_SME_RATE
10001,臺灣銀行,本國銀行,市佔率,7.04,MARKET_RATE
10001,臺灣土地銀行,本國銀行,對中小企業,255522000000,LN_SME
10001,臺灣土地銀行,本國銀行,佔放款%,15.4,LN_SME_RATE
10001,臺灣土地銀行,本國銀行,市佔率,7.34,MARKET_RATE
10001,合作金庫商業銀行,本國銀行,對中小企業,437298000000,LN_SME
10001,合作金庫商業銀行,本國銀行,佔放款%,25.33,LN_SME_RATE
10001,合作金庫商業銀行,本國銀行,市佔率,12.56,MARKET_RATE
10001,第一商業銀行,本國銀行,對中小企業,471196000000,LN_SME
10001,第一商業銀行,本國銀行,佔放款%,40.39,LN_SME_RATE
10001,第一商業銀行,本國銀行,市佔率,13.53,MARKET_RATE
10001,華南商業銀行,本國銀行,對中小企業,304902000000,LN_SME
10001,華南商業銀行,本國銀行,佔放款%,25.55,LN_SME_RATE
10001,華南商業銀行,本國銀行,市佔率,8.76,MARKET_RATE
10001,彰化商業銀行,本國銀行,對中小企業,259337000000,LN_SME
10001,彰化商業銀行,本國銀行,佔放款%,26.01,LN_SME_RATE
10001,彰化商業銀行,本國銀行,市佔率,7.45,MARKET_RATE
10001,上海商業儲蓄銀行,本國銀行,對中小企業,108478000000,LN_SME
10001,上海商業儲蓄銀行,本國銀行,佔放款%,35.81,LN_SME_RATE
10001,上海商業儲蓄銀行,本國銀行,市佔率,3.12,MARKET_RATE
10001,台北富邦銀行,本國銀行,對中小企業,71477000000,LN_SME
10001,台北富邦銀行,本國銀行,佔放款%,8.9,LN_SME_RATE
10001,台北富邦銀行,本國銀行,市佔率,2.05,MARKET_RATE
10001,國泰世華商業銀行,本國銀行,對中小企業,98540000000,LN_SME
10001,國泰世華商業銀行,本國銀行,佔放款%,12.22,LN_SME_RATE
10001,國泰世華商業銀行,本國銀行,市佔率,2.83,MARKET_RATE
10001,中國輸出入銀行,本國銀行,對中小企業,6659000000,LN_SME
10001,中國輸出入銀行,本國銀行,佔放款%,13.55,LN_SME_RATE
10001,中國輸出入銀行,本國銀行,市佔率,0.19,MARKET_RATE
10001,高雄銀行,本國銀行,對中小企業,33760000000,LN_SME
10001,高雄銀行,本國銀行,佔放款%,21.04,LN_SME_RATE
10001,高雄銀行,本國銀行,市佔率,0.97,MARKET_RATE
10001,兆豐國際商業銀行,本國銀行,對中小企業,249000000,LN_SME
10001,兆豐國際商業銀行,本國銀行,佔放款%,0.03,LN_SME_RATE
10001,兆豐國際商業銀行,本國銀行,市佔率,0.01,MARKET_RATE
10001,花旗,本國銀行,對中小企業,7687000000,LN_SME
10001,花旗,本國銀行,佔放款%,5.06,LN_SME_RATE
10001,花旗,本國銀行,市佔率,0.22,MARKET_RATE
10001,中華開發工業銀行,本國銀行,對中小企業,704000000,LN_SME
10001,中華開發工業銀行,本國銀行,佔放款%,1.19,LN_SME_RATE
10001,中華開發工業銀行,本國銀行,市佔率,0.02,MARKET_RATE
10001,臺灣工業銀行,本國銀行,對中小企業,3757000000,LN_SME
10001,臺灣工業銀行,本國銀行,佔放款%,6.8,LN_SME_RATE
10001,臺灣工業銀行,本國銀行,市佔率,0.11,MARKET_RATE
10001,匯豐,本國銀行,對中小企業,9453000000,LN_SME
10001,匯豐,本國銀行,佔放款%,7.06,LN_SME_RATE
10001,匯豐,本國銀行,市佔率,0.27,MARKET_RATE
10001,大台北商業銀行,本國銀行,對中小企業,1644000000,LN_SME
10001,大台北商業銀行,本國銀行,佔放款%,5.2,LN_SME_RATE
10001,大台北商業銀行,本國銀行,市佔率,0.05,MARKET_RATE
10001,華泰商業銀行,本國銀行,對中小企業,22943000000,LN_SME
10001,華泰商業銀行,本國銀行,佔放款%,25.98,LN_SME_RATE
10001,華泰商業銀行,本國銀行,市佔率,0.66,MARKET_RATE
10001,臺灣新光商業銀行,本國銀行,對中小企業,50647000000,LN_SME
10001,臺灣新光商業銀行,本國銀行,佔放款%,15.88,LN_SME_RATE
10001,臺灣新光商業銀行,本國銀行,市佔率,1.45,MARKET_RATE
10001,陽信商業銀行,本國銀行,對中小企業,29985000000,LN_SME
10001,陽信商業銀行,本國銀行,佔放款%,17.3,LN_SME_RATE
10001,陽信商業銀行,本國銀行,市佔率,0.86,MARKET_RATE
10001,板信商業銀行,本國銀行,對中小企業,21700000000,LN_SME
10001,板信商業銀行,本國銀行,佔放款%,20.67,LN_SME_RATE
10001,板信商業銀行,本國銀行,市佔率,0.62,MARKET_RATE
10001,三信商業銀行,本國銀行,對中小企業,12442000000,LN_SME
10001,三信商業銀行,本國銀行,佔放款%,14.46,LN_SME_RATE
10001,三信商業銀行,本國銀行,市佔率,0.36,MARKET_RATE
10001,聯邦商業銀行,本國銀行,對中小企業,24956000000,LN_SME
10001,聯邦商業銀行,本國銀行,佔放款%,13.12,LN_SME_RATE
10001,聯邦商業銀行,本國銀行,市佔率,0.72,MARKET_RATE
