年月,銀行,銀行類別,項目,數值,欄位名稱
9507,總計,全體總和,對中小企業,2699899000000,LN_SME
9507,總計,全體總和,佔放款%,16.73,LN_SME_RATE
9507,總計,全體總和,市佔率,100.0,MARKET_RATE
9507,中央信託局,本國銀行,對中小企業,3282000000,LN_SME
9507,中央信託局,本國銀行,佔放款%,1.63,LN_SME_RATE
9507,中央信託局,本國銀行,市佔率,0.12,MARKET_RATE
9507,中國農民銀行,本國銀行,對中小企業,0,LN_SME
9507,中國農民銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9507,中國農民銀行,本國銀行,市佔率,0.0,MARKET_RATE
9507,交通銀行,本國銀行,對中小企業,65716000000,LN_SME
9507,交通銀行,本國銀行,佔放款%,19.02,LN_SME_RATE
9507,交通銀行,本國銀行,市佔率,2.43,MARKET_RATE
9507,臺灣銀行,本國銀行,對中小企業,128175000000,LN_SME
9507,臺灣銀行,本國銀行,佔放款%,9.08,LN_SME_RATE
9507,臺灣銀行,本國銀行,市佔率,4.75,MARKET_RATE
9507,臺灣土地銀行,本國銀行,對中小企業,135708000000,LN_SME
9507,臺灣土地銀行,本國銀行,佔放款%,10.39,LN_SME_RATE
9507,臺灣土地銀行,本國銀行,市佔率,5.03,MARKET_RATE
9507,合作金庫商業銀行,本國銀行,對中小企業,294630000000,LN_SME
9507,合作金庫商業銀行,本國銀行,佔放款%,17.84,LN_SME_RATE
9507,合作金庫商業銀行,本國銀行,市佔率,10.91,MARKET_RATE
9507,第一商業銀行,本國銀行,對中小企業,270704000000,LN_SME
9507,第一商業銀行,本國銀行,佔放款%,32.88,LN_SME_RATE
9507,第一商業銀行,本國銀行,市佔率,10.03,MARKET_RATE
9507,華南商業銀行,本國銀行,對中小企業,237489000000,LN_SME
9507,華南商業銀行,本國銀行,佔放款%,25.92,LN_SME_RATE
9507,華南商業銀行,本國銀行,市佔率,8.8,MARKET_RATE
9507,彰化商業銀行,本國銀行,對中小企業,185472000000,LN_SME
9507,彰化商業銀行,本國銀行,佔放款%,23.96,LN_SME_RATE
9507,彰化商業銀行,本國銀行,市佔率,6.87,MARKET_RATE
9507,華僑商業銀行,本國銀行,對中小企業,36011000000,LN_SME
9507,華僑商業銀行,本國銀行,佔放款%,21.6,LN_SME_RATE
9507,華僑商業銀行,本國銀行,市佔率,1.33,MARKET_RATE
9507,上海商業儲蓄銀行,本國銀行,對中小企業,61846000000,LN_SME
9507,上海商業儲蓄銀行,本國銀行,佔放款%,29.92,LN_SME_RATE
9507,上海商業儲蓄銀行,本國銀行,市佔率,2.29,MARKET_RATE
9507,台北富邦銀行,本國銀行,對中小企業,66612000000,LN_SME
9507,台北富邦銀行,本國銀行,佔放款%,12.33,LN_SME_RATE
